"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt","run001",-0.0921566568466551,160,160,0.5,0.5,84,81,0.2,0.192857142857143,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2273,0.114542804134641,0.629,210,0.961,0.843
"Pt1","run002",-0.0362583940604288,160,160,0.5,0.5,84,73,0.2,0.173809523809524,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2409,0.0958451530946894,0.676,210,0.975,0.901
"Pt2","run003",-0.105164290744037,160,160,0.5,0.5,84,85,0.2,0.202380952380952,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2539,0.128008043543758,0.6,210,0.959,0.836
"Pt3","run004",-0.108428416422225,160,160,0.5,0.5,84,87,0.2,0.207142857142857,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2383,0.12212992411972,0.61,210,0.953,0.813
"Pt4","run005",-0.100514423624928,160,160,0.5,0.5,84,71,0.2,0.169047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.211,0.0925154791353773,0.681,210,0.983,0.933
"Pt5","run006",0.000724829413681131,160,160,0.5,0.5,84,75,0.2,0.178571428571429,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2065,0.0919515122066143,0.662,210,0.945,0.781
"Pt6","run007",-0.0680148872782936,160,160,0.5,0.5,84,77,0.2,0.183333333333333,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2494,0.103417036006322,0.652,210,1,1
"Pt7","run008",-0.0775453891551364,160,160,0.5,0.5,84,80,0.2,0.19047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2286,0.110495645227788,0.638,210,0.976,0.906
"Pt8","run009",0.0504476019580744,160,160,0.5,0.5,84,81,0.2,0.192857142857143,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2377,0.102794283381018,0.624,210,0.965,0.86
"Pt9","run010",-0.0216507508738287,160,160,0.5,0.5,84,83,0.2,0.197619047619048,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2669,0.11845547309833,0.614,210,0.958,0.831
"Pt10","run011",-0.0486877729269537,160,160,0.5,0.5,84,80,0.2,0.19047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2377,0.101696974605138,0.643,210,0.951,0.805
"Pt11","run012",-0.0600586303867987,160,160,0.5,0.5,84,79,0.2,0.188095238095238,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2344,0.103144425019425,0.652,210,0.987,0.949
"Pt12","run013",-0.0484564130853545,160,160,0.5,0.5,84,73,0.2,0.173809523809524,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2266,0.092605681784717,0.667,210,0.974,0.895
"Pt13","run014",0.00587265889904808,160,160,0.5,0.5,84,77,0.2,0.183333333333333,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2506,0.100435975846458,0.657,210,0.962,0.846
"Pt14","run015",-0.0314834829909356,160,160,0.5,0.5,84,80,0.2,0.19047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2351,0.10210819414901,0.638,210,0.962,0.848
"Pt15","run016",0.152405944909831,160,160,0.5,0.5,84,76,0.2,0.180952380952381,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2117,0.105576562515338,0.652,210,0.95,0.8
"Pt16","run017",-0.0435621586065523,160,160,0.5,0.5,84,73,0.2,0.173809523809524,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2097,0.0969896854845835,0.671,210,0.984,0.935
"Pt17","run018",-0.0848691470356541,160,160,0.5,0.5,84,79,0.2,0.188095238095238,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2338,0.102427334570192,0.648,210,0.949,0.795
"Pt18","run019",-0.0527437387398825,160,160,0.5,0.5,84,80,0.2,0.19047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2136,0.103358009148825,0.648,210,0.975,0.899
"Pt19","run020",-0.0454196167762402,160,160,0.5,0.5,84,73,0.2,0.173809523809524,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2019,0.0939428541979563,0.681,210,0.952,0.81
"Pt20","run021",-0.0712467748189735,160,160,0.5,0.5,84,82,0.2,0.195238095238095,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2247,0.102205828940523,0.619,210,0.943,0.773
"Pt21","run022",-0.121061101755337,160,160,0.5,0.5,84,76,0.2,0.180952380952381,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.224,0.0971517286568307,0.652,210,0.971,0.882
"Pt22","run023",0.0255379113779666,160,160,0.5,0.5,84,78,0.2,0.185714285714286,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2234,0.108731569828509,0.643,210,0.973,0.893
"Pt23","run024",-0.0640004506690255,160,160,0.5,0.5,84,78,0.2,0.185714285714286,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2403,0.100962781806938,0.638,210,0.957,0.83
"Pt24","run025",-0.0643733344543152,160,160,0.5,0.5,84,84,0.2,0.2,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2227,0.108041202767548,0.624,210,0.951,0.802
"Pt25","run026",-0.00476519047658456,160,160,0.5,0.5,84,82,0.2,0.195238095238095,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2208,0.110153772908875,0.624,210,0.92,0.678
"Pt26","run027",-0.029288606496024,160,160,0.5,0.5,84,77,0.2,0.183333333333333,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2058,0.0909039529494076,0.652,210,0.941,0.765
"Pt27","run028",-0.127989985044588,160,160,0.5,0.5,84,83,0.2,0.197619047619048,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2429,0.117925759048208,0.629,210,0.99,0.962
"Pt28","run029",-0.0709806005771588,160,160,0.5,0.5,84,84,0.2,0.2,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2065,0.114729915775834,0.614,210,0.908,0.633
"Pt29","run030",-0.139134619002678,160,160,0.5,0.5,84,80,0.2,0.19047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2682,0.0996093321232469,0.648,210,0.988,0.952
"Pt30","run031",-0.00274925215230517,160,160,0.5,0.5,84,81,0.2,0.192857142857143,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2506,0.112354890007951,0.629,210,0.969,0.875
